run number,date,start time,rev/s,L/min (sotera display),mass (kg),time (s),calculated (L/min)
25,7/14/2017,16:52:34,29.5,37.2,73.95,122.6,36.1908646
25,7/14/2017,16:41:14,31.5,39.9,78.6,121.7,38.75102712
24,7/14/2017,10:52:48,33.5,42.4,84.95,123.6,41.23786408
24,7/14/2017,15:23:25,34.5,44,65.9,92.6,42.69978402
24,7/14/2017,11:25:01,35.5,45.6,67.55,93.32,43.43120446
24,7/14/2017,11:38:08,37.5,48.6,49.05,66.92,43.97788404
24,7/14/2017,13:20:20,39.5,48,76,96.8,47.10743802
24,7/14/2017,13:30:08,41.5,54.2,77.9,92,50.80434783
24,7/14/2017,13:42:58,43.5,57,57.3,63.3,54.31279621
24,7/14/2017,14:58:43,45.5,58.7,63.5,67.2,56.69642857
24,7/14/2017,14:27:57,45.5,59,58.7,62.4,56.44230769
24,7/14/2017,15:09:17,47,61.3,66.15,65.6,60.50304878
26,7/17/2017,9:32:05,49,60.5,59.15,60,59.15
26,7/17/2017,9:43:27,51,67.4,82.65,74.45,66.60846206
26,7/17/2017,9:56:46,53,69.5,65.6,57.4,68.57142857
26,7/17/2017,10:06:08,55,68.5,65.35,57.9,67.72020725
26,7/17/2017,10:20:30,57,75,63.15,48.9,77.48466258
26,7/17/2017,10:28:28,56,73.5,58.2,47.1,74.14012739
26,7/17/2017,10:38:12,54,71.2,84.5,73,69.45205479
26,7/17/2017,10:52:40,50,65.4,69.85,65.6,63.88719512
26,7/17/2017,11:04:10,48,62.8,96.85,94.5,61.49206349
26,7/17/2017,11:18:32,42,55,86.3,96.6,53.60248447
26,7/17/2017,11:30:40,40.5,52.5,102.15,120.1,51.03247294
26,7/17/2017,11:41:35,38.5,50,90.7,120.24,45.25948104
26,7/17/2017,11:53:39,36.5,45,99.7,138.54,43.17886531
26,7/17/2017,13:54:33,29,21,104.75,302.9,20.74942225
26,7/17/2017,14:13:18,27,13.5,25.85,122.96,12.61385817
26,7/17/2017,14:38:44,26.5,11.8,13.25,80,9.9375
26,7/17/2017,14:47:11,26,7.8,15.2,121.8,7.487684729